rule_id,decision_question,evidence_ids,evidence_type,population_scope,key_finding,confidence,directness_to_spanish_a1,curricular_rule,prohibited_inference,implementation_target,source_url,notes
SCI-RULE-001,¿Debe SpanishStories tratar el conocimiento receptivo y productivo como el mismo estado?,SCI-09,EMPIRICAL_L2_STUDY,L2 learners; evidencia no específica de español A1,El vocabulario receptivo fue mayor que el productivo; la brecha aumentó en bandas de menor frecuencia.,HIGH,INDIRECT_LANGUAGE_AND_LEVEL,Mantener estados y evidencias de dominio receptivo y productivo separados; reconocer/comprender una unidad no autoriza marcarla como productivamente dominada.,RECEPTIVE_KNOWN == PRODUCTIVE_KNOWN,Lexeme/Sense mastery model; activity outcomes,https://www.cambridge.org/core/journals/studies-in-second-language-acquisition/article/abs/receptive-and-productive-vocabulary-sizes-of-l2-learners/603A8FD24DBAA2874163DD36D8BAACA3,No deriva umbrales numéricos de mastery.
SCI-RULE-002,¿Puede una historia significativa producir aprendizaje incidental de vocabulario?,SCI-12,META_ANALYSIS_L2,24 estudios; N=2771; distintas L2/modalidades,"El input centrado en significado produjo aprendizaje incidental, pero la proporción media de palabras aprendidas fue parcial y variable (aprox. 9–18% inmediata; 6–17% diferida según medida).",HIGH,INDIRECT_LANGUAGE_AND_LEVEL,"Las historias cuentan como exposición significativa y oportunidad de aprendizaje, no como prueba suficiente de adquisición o mastery de cada objetivo léxico.",ONE_STORY_EXPOSURE => MASTERED,StoryOccurrence exposure ledger,https://www.cambridge.org/core/journals/language-teaching/article/how-effective-is-second-language-incidental-vocabulary-learning-a-metaanalysis/E38E3468FD2090B1FA3051051DE8E70C,"Aplicar como evidencia de arquitectura, no como tasa esperada exacta para español A1."
SCI-RULE-003,¿Debe existir trabajo léxico intencional además de la exposición incidental?,SCI-27,META_ANALYSIS_L2,22 estudios; 100 effect sizes; actividades de vocabulario L2,Las actividades intencionales produjeron ganancias sustanciales pero variables y con descenso en pruebas diferidas.,HIGH,INDIRECT_LANGUAGE_AND_LEVEL,"Los objetivos nucleares introducidos por historias deben poder recibir práctica léxica intencional posterior, especialmente cuando se espera recuperación de forma o significado.",MEANING_FOCUSED_INPUT_ONLY_IS_ALWAYS_SUFFICIENT,Post-story lexical activities,https://onlinelibrary.wiley.com/doi/10.1111/modl.12671,"No prescribe una actividad única; flashcards, escritura y fill-in-the-blanks muestran heterogeneidad."
SCI-RULE-004,¿La repetición de encuentros debe influir en la planificación?,SCI-28,META_ANALYSIS_CORRELATIONAL_L2,26 estudios; N=1918,"Relación positiva moderada entre número de encuentros y aprendizaje incidental (r≈.34), con moderadores de aprendiz, tarea y tratamiento.",HIGH,INDIRECT_LANGUAGE_AND_LEVEL,"Registrar y planificar reencuentros de objetivos; la frecuencia de exposición es señal de consolidación, no un umbral universal.",FIXED_ENCOUNTER_COUNT => LEARNED,Occurrence/recycling counters,https://onlinelibrary.wiley.com/doi/10.1111/lang.12343,No adoptar reglas como '7 encuentros' o '10 encuentros' sin validación propia.
SCI-RULE-005,¿Los reencuentros deben espaciarse o concentrarse?,SCI-13; SCI-14,META_ANALYSIS_L2_PLUS_MEMORY,"L2 meta-analysis: 48 experimentos, N=3411; apoyo general de memoria","La práctica espaciada muestra efecto medio-grande en L2; intervalos más largos favorecen pruebas demoradas, y el espaciado igual y expansivo no difirieron estadísticamente.",HIGH,INDIRECT_LANGUAGE_AND_LEVEL,El currículo debe reciclar objetivos en sesiones/islas separadas; no exigir un algoritmo expansivo específico ni fijar intervalos universales antes de datos de producto.,EXPANDING_SPACING_IS_MANDATORY_OR_UNIVERSALLY_SUPERIOR,Module/island sequencing; review scheduler,https://onlinelibrary.wiley.com/doi/10.1111/lang.12479,La distancia óptima depende también del intervalo de retención y la tarea.
SCI-RULE-006,¿Debe el reciclaje incluir recuperación activa?,SCI-15; SCI-31,META_ANALYSIS_MEMORY_PLUS_L2_EXPERIMENT,Meta-análisis general de testing effect + experimento de vocabulario L2 hablado,"La recuperación supera al mero reestudio en retención; en vocabulario L2, intentar producir antes del feedback superó a la imitación en comprensión y producción sin empeorar pronunciación.",MODERATE_HIGH,INDIRECT_LANGUAGE_AND_LEVEL,Incluir oportunidades de recuperación activa con feedback; tareas de reconocimiento solas no deben acreditar dominio productivo.,RECOGNITION_SUCCESS => PRODUCTIVE_MASTERY,Retrieval activities; mastery evidence,https://pubmed.ncbi.nlm.nih.gov/25150680/ ; https://pubmed.ncbi.nlm.nih.gov/23681928/,Rowland es evidencia general de memoria; Kang et al. aporta evidencia específica L2.
SCI-RULE-007,"¿Debe imponerse una cobertura léxica fija (p. ej., 98%) a todas las historias A1?",SCI-05; SCI-06; SCI-07,EMPIRICAL_PLUS_REPLICATION,Principalmente lectores de L2 inglés,"La cobertura léxica se relaciona con comprensión, pero una replicación de 2023 no confirmó un umbral crítico universal de 98%; género y formato de tarea modificaron resultados.",HIGH_FOR_CONTINUOUS_RELATION; LOW_FOR_UNIVERSAL_THRESHOLD,INDIRECT_LANGUAGE_AND_LEVEL,"Usar cobertura/desconocidos como métrica continua de dificultad y auditoría; calibrar bandas propias por nivel, género y apoyos, sin un gate universal de 98%.",LEXICAL_COVERAGE_98_PERCENT_IS_UNIVERSAL_PASS_FAIL_GATE,Story difficulty/coverage audit,https://onlinelibrary.wiley.com/doi/10.1111/lang.12622,"Mantener Hu & Nation como antecedente, pero la replicación obliga a evitar una regla rígida."
SCI-RULE-008,¿Tiene sentido una arquitectura basada en lectura extensa/historias?,SCI-17,META_ANALYSIS_L2,Estudios de lectura extensa en diversas L2 y poblaciones,"Efectos positivos pequeños a moderados en comprensión, vocabulario, fluidez, motivación, escritura, oralidad y competencia general; efectos mayores con elección limitada y algún mecanismo de accountability.",HIGH_FOR_POSITIVE_EFFECT; MODERATE_FOR_SPECIFIC_DESIGN_FEATURES,MIXED_LANGUAGES_AND_LEVELS,"Mantener historias/lectura como componente nuclear, pero con gradación, selección controlada y alguna actividad de seguimiento; no depender de lectura libre sin estructura.",EXTENSIVE_READING_ALONE_IS_COMPLETE_A1_CURRICULUM,Story library and post-reading loop,https://link.springer.com/article/10.1007/s10648-025-10068-6,"Meta-análisis publicado en 2025, abierto CC BY 4.0."
SCI-RULE-009,¿Debe SpanishStories privilegiar una sola modalidad de input?,SCI-12,META_ANALYSIS_L2,"Lectura, escucha, lectura+escucha y viewing","Las ganancias incidentales fueron comparables entre lectura, escucha y lectura mientras se escucha; viewing fue menor en el conjunto analizado.",MODERATE_HIGH,INDIRECT_LANGUAGE_AND_LEVEL,"Permitir historias leídas, escuchadas y lectura+audio; no declarar una modalidad universalmente superior. Registrar modalidad de exposición como variable separada.",ONE_INPUT_MODALITY_IS_ALWAYS_OPTIMAL,Story media variants; exposure telemetry,https://www.cambridge.org/core/journals/language-teaching/article/how-effective-is-second-language-incidental-vocabulary-learning-a-metaanalysis/E38E3468FD2090B1FA3051051DE8E70C,La aparente ventaja diferida de lectura+escucha no debe convertirse en obligación universal.
SCI-RULE-010,¿La gramática A1 debe aprenderse exclusivamente de forma implícita dentro de historias?,SCI-29; SCI-30; SCI-32,META_ANALYSIS_INSTRUCTED_SLA,Estudios de instrucción L2; gran parte en inglés y múltiples estructuras,"Las síntesis encuentran beneficios claros de instrucción focalizada y, en promedio, ventajas de la instrucción explícita sobre la implícita para formas gramaticales.",HIGH_FOR_ALLOWING_EXPLICIT_FORM_FOCUS,INDIRECT_LANGUAGE_AND_LEVEL,"Las historias pueden introducir forma en contexto, pero el sistema debe permitir explicaciones/form-focus breves y práctica explícita cuando una unidad gramatical lo requiera.",STORY_CONTEXT_REQUIRES_IMPLICIT_ONLY_GRAMMAR,Grammar micro-lessons and contextual practice,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9922.2010.00562.x ; https://onlinelibrary.wiley.com/doi/10.1111/0023-8333.00136 ; https://doi.org/10.1075/sibil.48.18goo,No implica convertir la plataforma en un curso de reglas aisladas.
