audit_id,dele_task_id,modality,task_structure,old_compatible_story_ids,new_compatible_story_ids,compatible_new_story_count,compatibility_basis,required_story_capability,status,blocking,notes
G-DELE-01,DELE-A1-R1,READING,Correspondencia breve personal,A1-M06-I04-S3;A1-M07-I04-S3,B32-S24;B32-S27,2,Mensajes personales breves ligados a evento social y cambio/plan próximo.,READ_SHORT_PERSONAL_CORRESPONDENCE,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-02,DELE-A1-R2,READING,Textos funcionales mínimos,A1-M03-I01-S4;A1-M04-I04-S3;A1-M03-I03-S4,B32-S12;B32-S18;B32-S13,3,"Horario/agenda, información funcional de transporte e instrucciones breves.",READ_MINIMAL_FUNCTIONAL_TEXTS,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-03,DELE-A1-R3,READING,Material informativo/promocional,A1-M07-I02-S3;A1-M06-I02-S3;A1-M08-I03-S4,B32-S26;B32-S23;B32-S31,3,"Anuncio de alojamiento, cartel/programación de ocio y ficha informativa pública/cultural.",READ_INFORMATIONAL_PROMOTIONAL_MATERIAL,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-04,DELE-A1-R4,READING,Información pública concreta,A1-M04-I04-S3;A1-M04-I03-S3,B32-S18;B32-S17,2,Panel/horario/billete y señalización o información concreta de servicio.,READ_CONCRETE_PUBLIC_INFORMATION,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-05,DELE-A1-L1,LISTENING,Diálogos muy breves,A1-M01-I01-S3;A1-M05-I02-S3,B32-S01;B32-S20,2,Intercambio mínimo de saludo/cierre y diálogo muy breve de pedido.,LISTEN_VERY_SHORT_DIALOGUE,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-06,DELE-A1-L2,LISTENING,Mensajes/avisos públicos,A1-M04-I03-S3;A1-M04-I04-S3,B32-S17;B32-S18,2,Aviso/información de servicio y anuncio de transporte con dato concreto.,LISTEN_PUBLIC_MESSAGE_ANNOUNCEMENT,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-07,DELE-A1-L3,LISTENING,Monólogo segmentado,A1-M02-I02-S4;A1-M08-I03-S4,B32-S07;B32-S31,2,Descripción segmentada de persona e información segmentada de referente/lugar.,LISTEN_SEGMENTED_MONOLOGUE,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-08,DELE-A1-L4,LISTENING,Conversación cotidiana,A1-M06-I03-S3;A1-M05-I02-S3,B32-S24;B32-S20,2,Invitación/aceptación-rechazo y conversación cotidiana transaccional en restaurante.,LISTEN_EVERYDAY_CONVERSATION,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-09,DELE-A1-W1,WRITING,Formulario,A1-M01-I03-S4,B32-S03,1,Datos personales/de otra persona recuperados para completar ficha o formulario breve.,WRITE_COMPLETE_SIMPLE_FORM,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-10,DELE-A1-W2,WRITING,Correspondencia breve,A1-M06-I04-S3;A1-M07-I04-S3,B32-S24;B32-S27,2,Mensaje social personal y mensaje breve sobre plan/cambio próximo.,WRITE_SHORT_PERSONAL_CORRESPONDENCE,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-11,DELE-A1-O1,SPEAKING,Presentación personal preparada,A1-M01-I02-S3,B32-S02,1,Ficha personal/grupal como soporte para preparar y producir una presentación personal muy breve.,SPEAK_PREPARED_PERSONAL_PRESENTATION,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-12,DELE-A1-O2,SPEAKING,Tema personal próximo preparado,A1-M06-I01-S3,B32-S22,1,"Gustos, intereses y preferencias como tema próximo preparado.",SPEAK_PREPARED_FAMILIAR_TOPIC,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
G-DELE-13,DELE-A1-O3,SPEAKING,Conversación guiada,A1-M08-I04-S3,B32-S32,1,Capstone multimodal con interacción guiada sobre funciones acumuladas A1.,SPEAK_GUIDED_CONVERSATION,PASS,NO,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.
