record_id,concept_anchor,variant_item,item_type,pos,region_scope,country_distribution,source_id_primary,source_id_secondary,source_level_anchor,regional_status,receptive_default,productive_default,baseline_action,evidence_gate,semantic_equivalence_confidence,variant_group_id,notes,source_url_1,source_url_2,curriculum_version
REG-A1-001,aquí,acá,ATOMIC_FORM,ADV,Hispanoamérica,general marker in PCIC,PCIC-08,PCIC-02,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-LOC-DEICTIC,Already present in baseline; PCIC marks preference/alternative in Hispanoamérica.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,1.16
REG-A1-002,allí,allá,ATOMIC_FORM,ADV,Hispanoamérica,general marker in PCIC,PCIC-08,PCIC-02,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-LOC-DEICTIC,Already present in baseline; PCIC marks preference/alternative in Hispanoamérica.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,1.16
REG-A1-003,por la mañana,en la mañana,MWU,ADVERBIAL_MWU,Hispanoamérica,general marker in PCIC,PCIC-08,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-TIME-DAYPART,Already present among 214 MWU; regional alternative preserved.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,,1.16
REG-A1-004,por la tarde,en la tarde,MWU,ADVERBIAL_MWU,Hispanoamérica,general marker in PCIC,PCIC-08,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-TIME-DAYPART,Already present among 214 MWU; regional alternative preserved.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,,1.16
REG-A1-005,por la noche,en la noche,MWU,ADVERBIAL_MWU,Hispanoamérica,general marker in PCIC,PCIC-08,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-TIME-DAYPART,Already present among 214 MWU; regional alternative preserved.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,,1.16
REG-A1-006,guapo/bonito,lindo,ATOMIC_FORM,ADJ,Hispanoamérica,general marker in PCIC,PCIC-08,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-ATTRACTIVE,Already present in baseline; PCIC places it in A1 under Hispanic-American variation.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,,1.16
REG-A1-007,guapo/bonito,hermoso,ATOMIC_FORM,ADJ,Hispanoamérica,general marker in PCIC,PCIC-08,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-ATTRACTIVE,Already present in baseline; PCIC places it in A1 under Hispanic-American variation.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,,1.16
REG-A1-008,de acuerdo / bien,okay,ATOMIC_FORM,DISCOURSE_MARKER,Hispanoamérica,general marker in PCIC,PCIC-08,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R1_PCIC_EXPLICIT,HIGH,VG-CONFORMITY,Explicit A1 Hispanic-American marker in Nociones generales; absent from v1.15 baseline.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm,,1.16
REG-A1-009,tú,vos,PRONOUN_FORM,PRON,Voseo zones of Hispanoamérica,multiple voseante zones; tuteo coexists variably,PCIC-02,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,KEEP_EXISTING,R1_PCIC_EXPLICIT,HIGH,VG-2SG-TREATMENT,Already present in baseline. Productive requirement depends on target-variety profile.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-010,vosotros/as,ustedes (2.ª plural),GRAMMATICAL_VARIANT,PRON,Hispanoamérica + southern Spain + Canary Islands,broad regional system,PCIC-02,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,GRAMMAR_METADATA_ONLY,R1_PCIC_EXPLICIT,HIGH,VG-2PL-TREATMENT,No new lexical form: ustedes already exists. Records regional 2pl system.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-011,ser (2SG voseo),sos,INFLECTED_VERB_FORM,VERB_FORM,Voseo zones of Hispanoamérica,multiple voseante zones,PCIC-02,,A1,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,MORPHOLOGY_LEDGER_ONLY,R1_PCIC_EXPLICIT,HIGH,VG-VOSEO-SER,Explicit regional A1 form; does not alter lexical surface-form count because verb inflections are counted separately.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-012,present regular paradigm,voseo -áis/-ís/-ís,MORPHOLOGICAL_PATTERN,VERB_PATTERN,selected voseo zones,Sierra Ecuador; southern Peru; Chile; NW/Patagonian Argentina; parts of Bolivia,PCIC-02,,A1,REGIONAL_GRAMMAR_PATTERN,YES,TARGET_PROFILE_ONLY,MORPHOLOGY_LEDGER_ONLY,R1_PCIC_EXPLICIT,HIGH,VG-VOSEO-PRESENT,Regional present morphology; not a lexical item.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-013,present regular paradigm,voseo -ás/-és/-ís,MORPHOLOGICAL_PATTERN,VERB_PATTERN,broad voseo zones,"Central America; parts of Mexico, Colombia, Venezuela, Ecuador, Bolivia, Argentina, Uruguay",PCIC-02,,A1,REGIONAL_GRAMMAR_PATTERN,YES,TARGET_PROFILE_ONLY,MORPHOLOGY_LEDGER_ONLY,R1_PCIC_EXPLICIT,HIGH,VG-VOSEO-PRESENT,Regional present morphology; not a lexical item.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-014,ahora + hoy,ahoy,ATOMIC_FORM,ADV,Hispanoamérica,PCIC regional marker; distribution unresolved in this phase,PCIC-02,,A1,A1_REGIONAL_RECEPTIVE,YES,NO,ADD_SURFACE_FORM,R1_PCIC_EXPLICIT,HIGH_SOURCE_LOW_DISTRIBUTION,VG-TIME-REGIONAL,Explicit A1 regional form in PCIC. Kept receptive by default because current geographic/vitality distribution still needs corpus verification.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-015,ahora/hoy,ahora por hoy,REGIONAL_PATTERN,ADVERBIAL_PATTERN,Hispanoamérica,PCIC regional marker; distribution unresolved,PCIC-02,,A1,REGIONAL_PATTERN_ASSERTION,YES,NO,NORMALIZATION_PENDING,R1_PCIC_EXPLICIT,MEDIUM,VG-TIME-REGIONAL,Preserve source assertion; whether this is an MWU is deferred to Phase 14.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-016,mucho / muy,demasiado (= mucho/muy),ATOMIC_FORM_WITH_SENSE,ADV/QUANT,Hispanoamérica,PCIC regional marker; distribution unresolved,PCIC-02,,A1 regional sense; general quantifier is A2 in this source family,A1_REGIONAL_RECEPTIVE,YES,NO,ADD_SURFACE_FORM_SENSE_RESTRICTED,R1_PCIC_EXPLICIT_SOURCE_ASSERTION,HIGH,VG-DEGREE-REGIONAL,Adds only the regional A1 sense. Does not promote general A2 uses of demasiado.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-017,tampoco,también no,REGIONAL_PATTERN,POLARITY_PATTERN,Hispanoamérica,PCIC regional marker; distribution unresolved,PCIC-02,,A1,REGIONAL_PATTERN_ASSERTION,YES,NO,NORMALIZATION_PENDING,R1_PCIC_EXPLICIT,HIGH,VG-POLARITY-REGIONAL,Preserve as regional polarity pattern; MWU status deferred to Phase 14.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-018,sujeto nulo general,mayor explicitación del pronombre sujeto,SYNTACTIC_VARIANT,GRAMMAR_PATTERN,Hispanoamérica,general tendency marker in PCIC,PCIC-02,,A1,REGIONAL_GRAMMAR_PATTERN,YES,TARGET_PROFILE_ONLY,GRAMMAR_METADATA_ONLY,R1_PCIC_EXPLICIT,MEDIUM,VG-SUBJECT-EXPRESSION,Regional tendency; not converted into vocabulary.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/02_gramatica_inventario_a1-a2.htm,,1.16
REG-A1-019,móvil,celular,ATOMIC_FORM,NOUN,Hispanoamérica,"EU, Mx, Gu, Ho, ES, Ni, CR, Pa, Cu, RD, PR, Co, Ve, Ec, Pe, Ch, Py, Ar, Ur; Bo pop.",SCI-22,LING-05,A1 concept anchor in PCIC; regional equivalent support,A1_REGIONAL_RECEPTIVE,YES,TARGET_PROFILE_ONLY,ADD_SURFACE_FORM,R2_RESEARCH_PLUS_LEXICOGRAPHIC_CORROBORATION,HIGH,VG-MOBILE,Portable/mobile phone.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/asele/pdf/32/032_0031.pdf,https://www.asale.org/damer/celular,1.16
