record_id,record_type,source_id,source_name,source_type,declared_level_scope,domain,item,item_type,attestation_granularity,baseline_presence,baseline_status,baseline_pos,pcic_conflict_status,pedagogical_signal,evidence_gate_before,evidence_gate_after,independent_source_count,baseline_action,promotion_allowed,review_status,notes,source_url,curriculum_version
TRI-A1-001,SOURCE_AUDIT,PED-01,UC Davis / Coursera — Basic Spanish Vocabulary,PEDAGOGICAL_AUDIT,BEGINNER_NOT_STRICT_A1,,,,LIMITED_PUBLIC_ITEM_DETAIL,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,SCOPE_ONLY,Source classified by what its public materials can legitimately support in Phase 7E.,https://www.coursera.org/specializations/learn-spanish,1.18
TRI-A1-002,SOURCE_AUDIT,PED-02,JUNTXS — University of Queensland,UNIVERSITY_OER,A1-A2,,,,EXACT_ITEMS_AND_DOMAINS_BUT_LEVEL_BOUNDARY_UNRESOLVED,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,CONDITIONAL,Source classified by what its public materials can legitimately support in Phase 7E.,https://uq.pressbooks.pub/introspanish/,1.18
TRI-A1-003,SOURCE_AUDIT,PED-03,Difusión — Aula Internacional Plus 1,EDITORIAL_A1,A1,,,,PUBLIC_SCOPE_AND_UNIT_LEXICON_DESIGN,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,DOMAIN_AND_SCOPE,Source classified by what its public materials can legitimately support in Phase 7E.,https://difusion.com/catalogo/aula-internacional-plus/,1.18
TRI-A1-004,SOURCE_AUDIT,PED-04,Edinumen — Hablamos Compacto A1,EDITORIAL_A1,A1,,,,DETAILED_PUBLIC_CONTENT_TABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,ITEM_AND_DOMAIN,Source classified by what its public materials can legitimately support in Phase 7E.,https://edinumen.es/hablamos/pdf/hablamos_compacto_a1.pdf,1.18
TRI-A1-005,SOURCE_AUDIT,PED-05,Universitat de Barcelona — Lengua española A1,UNIVERSITY_A1,A1,,,,PROGRAM_LEVEL,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,CONDITIONAL,Source classified by what its public materials can legitimately support in Phase 7E.,,1.18
TRI-A1-006,SOURCE_AUDIT,PED-06,Erasmus University Rotterdam — Spanish A1,UNIVERSITY_A1,A1,,,,DOMAIN_LEVEL,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,DOMAIN,Source classified by what its public materials can legitimately support in Phase 7E.,https://www.eur.nl/en/education/language-training-centre/spanish/spanish-a1-beginners,1.18
TRI-A1-007,SOURCE_AUDIT,PED-07,iEspanol — A1 Home and Family,PEDAGOGICAL_A1_STRESS_TEST,A1_LABEL,,,,LESSON_LEVEL,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,STRESS_TEST_ONLY,Source classified by what its public materials can legitimately support in Phase 7E.,https://iespanol.org/a1-lesson-21/,1.18
TRI-A1-008,SOURCE_AUDIT,PED-08,Tucaneo — La Casa,PEDAGOGICAL_A1_STRESS_TEST,A1_LABEL,,,,PARTIAL_ACCESS,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,NOT_USED_NEW_ASSERTIONS,Source classified by what its public materials can legitimately support in Phase 7E.,https://tucaneo.com/A1/modulo_3/La_Casa,1.18
TRI-A1-009,SOURCE_AUDIT,PED-09,Universitat Politècnica de València — Elementary Spanish A1,UNIVERSITY_A1,A1,,,,DOMAINS_PLUS_FEW_EXACT_VERBS,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,ITEM_AND_DOMAIN,Source classified by what its public materials can legitimately support in Phase 7E.,https://www.cfp.upv.es/formacion-permanente/curso/elementary-spanish-a1_103416.html,1.18
TRI-A1-010,SOURCE_AUDIT,PED-10,Paderborn University — Spanish A1,UNIVERSITY_A1,A1,,,,FUNCTIONAL_AND_DOMAIN_LEVEL,NOT_APPLICABLE,,,NOT_APPLICABLE,SOURCE_USABILITY_AUDIT,NOT_APPLICABLE,NOT_APPLICABLE,,NO_CHANGE,NO,DOMAIN,Source classified by what its public materials can legitimately support in Phase 7E.,https://www.uni-paderborn.de/en/zfs/language-courses-for-students/spanish/spanish-a1,1.18
