record_type,sequence_id,module_id,module_order,module_name,island_id,island_order,global_island_order,island_name,communicative_goal,design_role,story_count,island_checkpoint_story_id,module_checkpoint_story_id,hard_prerequisite,recycling_policy,module_gate,allocation_status,notes
ISLAND,A1-M01-I05,M01,1,Contacto y supervivencia comunicativa,A1-M01-I05,1,1,Primeros contactos,"Abrir, sostener y reparar intercambios básicos de identificación y datos personales.",CURRICULUM_SEQUENCE,4,A1-M01-I05-S4,A1-M01-I05-S4,NONE,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M02-I05,M02,2,Personas y entorno cercano,A1-M02-I05,1,2,Personas y perfiles,"Identificar, relacionar y describir personas cercanas.",CURRICULUM_SEQUENCE,3,A1-M02-I05-S3,,A1-M01-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M02-I06,M02,2,Personas y entorno cercano,A1-M02-I06,2,3,"Casa, estudio y trabajo","Localizar elementos del hogar y expresar estudio, profesión o actividad como parte del perfil personal.",CURRICULUM_SEQUENCE,2,A1-M02-I06-S2,A1-M02-I06-S2,A1-M02-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M03-I05,M03,3,"Tiempo, rutina, estudio y trabajo",A1-M03-I05,1,4,Tiempo y rutina,"Gestionar fecha, hora, agenda y rutinas cotidianas.",CURRICULUM_SEQUENCE,3,A1-M03-I05-S3,,A1-M02-I06,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M03-I06,M03,3,"Tiempo, rutina, estudio y trabajo",A1-M03-I06,2,5,Aula y habilidades,Comprender instrucciones de aula y expresar capacidad o habilidad elemental.,CURRICULUM_SEQUENCE,2,A1-M03-I06-S2,A1-M03-I06-S2,A1-M03-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M04-I05,M04,4,"Ciudad, servicios y desplazamientos",A1-M04-I05,1,6,Moverse por la ciudad,"Localizar, pedir información, seguir rutas y resolver desplazamientos básicos.",CURRICULUM_SEQUENCE,4,A1-M04-I05-S4,A1-M04-I05-S4,A1-M03-I06,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M05-I05,M05,5,"Comer, comprar y pedir",A1-M05-I05,1,7,"Comer, comprar y elegir","Manejar comida, pedidos, precios, pago, alternativas y corrección en transacciones simples.",CURRICULUM_SEQUENCE,3,A1-M05-I05-S3,A1-M05-I05-S3,A1-M04-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M06-I05,M06,6,"Ocio, gustos y vida social",A1-M06-I05,1,8,Un fin de semana con amigos,"Expresar gustos y ocio, invitar, aceptar/rechazar y desenvolverse en un evento social.",CURRICULUM_SEQUENCE,3,A1-M06-I05-S3,A1-M06-I05-S3,A1-M05-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M07-I05,M07,7,"Viajes, alojamiento, clima y planes",A1-M07-I05,1,9,Preparar un viaje,"Organizar transporte, alojamiento, clima y planes próximos.",CURRICULUM_SEQUENCE,3,A1-M07-I05-S3,A1-M07-I05-S3,A1-M06-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M08-I05,M08,8,"Opinión, información e integración A1",A1-M08-I05,1,10,Opinar y responder,"Expresar opinión, acuerdo, desacuerdo, contraste y duda elementales.",CURRICULUM_SEQUENCE,2,A1-M08-I05-S2,,A1-M07-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
ISLAND,A1-M08-I06,M08,8,"Opinión, información e integración A1",A1-M08-I06,2,11,Información e integración A1,Comprender información pública/cultural e integrar funciones acumuladas del nivel A1.,CURRICULUM_SEQUENCE,3,A1-M08-I06-S3,A1-M08-I06-S3,A1-M08-I05,HORIZON_ADAPTIVE_FIRST_SECOND_THIRD_RETURN,coverage + transfer checkpoint; no universal pass percentage,RELEASE_CANDIDATE_V1_51,8 modules / 11 islands / 32 StoryBlueprints approved in ETAPA B; IDs are new and non-colliding with v1.44.
