domain,item_type,item,source_level,status,action,notes
COMPRAS,ATOMIC_FORM,mercado,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,supermercado,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,tienda,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,salida,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,información,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,comprador,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,vendedor,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,comprar,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,vender,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,pantalones,A1,PCIC_A1_EXPLICIT_FORM_RECOVERY,ADD_SURFACE_FORM_ONLY,
COMPRAS,ATOMIC_FORM,vaqueros,A1,PCIC_A1_EXPLICIT_FORM_RECOVERY,ADD_SURFACE_FORM_ONLY,
COMPRAS,ATOMIC_FORM,falda,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,camisa,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,jersey,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,zapatos,A1,PCIC_A1_EXPLICIT_FORM_RECOVERY,ADD_SURFACE_FORM_ONLY,
COMPRAS,ATOMIC_FORM,bolso,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,precio,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,dinero,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,billete,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,euro,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,céntimo,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,ATOMIC_FORM,tarjeta,A1,PCIC_A1_PRESENT,KEEP,
COMPRAS,MWU,pagar con tarjeta,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,estar,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,enfermo,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,malo,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,médico,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,enfermero,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,hospital,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,farmacia,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,agua,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,jabón,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,lavarse,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,cara,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,mano,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,pelo,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,diente,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,ducharse,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,bañarse,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,ATOMIC_FORM,ir,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,estar enfermo,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,estar malo,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,ir al hospital,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,ir al médico,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,lavarse el pelo,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,lavarse la cara,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,lavarse las manos,A1,PCIC_A1_PRESENT,KEEP,
SALUD_HIGIENE,MWU,lavarse los dientes,A1,PCIC_A1_PRESENT,KEEP,
VIAJES_ALOJAMIENTO,ATOMIC_FORM,aeropuerto,A1,PCIC_A1_PRESENT,KEEP,
