story_id,module_id,module_name,island_id,global_island_order,island_name,story_order,story_title,story_role,scenario_brief,communicative_goal,genre_focus,planned_input_mode,new_target_count,local_reuse_in_count,near_transfer_in_count,distant_return_in_count,regional_later_recognition_in_count,terminal_capstone_return_in_count,new_target_policy,task_demand,known_token_coverage_policy,mastery_policy,status,notes,scheduled_relation_count,new_target_guardrail,is_final_transfer_story,v1_44_revision_reason
A1-M01-I01-S1,M01,Contacto y supervivencia comunicativa,A1-M01-I01,1,Hola: abrir y cerrar,1,Primer día en la escuela,CONTEXTUAL_INPUT,"Dos estudiantes llegan, se saludan y reconocen fórmulas de apertura y cierre.","Saludar, responder, despedirse y reconocer cuándo empieza/termina un intercambio.",microdiálogo; chat breve; audio presencial,READ+LISTEN,8,0,0,0,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",8,PASS,NO,16D_FINAL_AUDIT
A1-M01-I01-S2,M01,Contacto y supervivencia comunicativa,A1-M01-I01,1,Hola: abrir y cerrar,2,Encuentro en el pasillo,VARIATION_AND_LOCAL_RECYCLING,Los mismos recursos aparecen con interlocutores y situación distintos.,"Saludar, responder, despedirse y reconocer cuándo empieza/termina un intercambio.",microdiálogo; chat breve; audio presencial,LISTEN+READ,7,1,0,0,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",8,PASS,NO,16D_FINAL_AUDIT
A1-M01-I01-S3,M01,Contacto y supervivencia comunicativa,A1-M01-I01,1,Hola: abrir y cerrar,3,Nos vemos mañana,TRANSFER_AND_RETRIEVAL,Interacción breve que exige reconocer y seleccionar apertura/cierre apropiados.,"Saludar, responder, despedirse y reconocer cuándo empieza/termina un intercambio.",microdiálogo; chat breve; audio presencial,TASK_INTERACTION+READ_OR_LISTEN,0,14,0,0,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",14,PASS,YES,16D_FINAL_AUDIT
A1-M01-I02-S1,M01,Contacto y supervivencia comunicativa,A1-M01-I02,2,¿Cómo te llamas?,1,Una nueva compañera,CONTEXTUAL_INPUT,"Presentación guiada con nombre, tratamiento e identificación.",Identificarse y presentar a otra persona con nombre y tratamiento básico.,perfil; presentación oral; diálogo,READ+LISTEN,18,0,0,0,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",18,PASS,NO,16D_FINAL_AUDIT
A1-M01-I02-S2,M01,Contacto y supervivencia comunicativa,A1-M01-I02,2,¿Cómo te llamas?,2,Presentar a un amigo,VARIATION_AND_LOCAL_RECYCLING,Cambio de persona y deíxis para reutilizar identificación y presentación.,Identificarse y presentar a otra persona con nombre y tratamiento básico.,perfil; presentación oral; diálogo,LISTEN+READ,18,8,0,0,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",26,PASS,NO,16D_FINAL_AUDIT
A1-M01-I02-S3,M01,Contacto y supervivencia comunicativa,A1-M01-I02,2,¿Cómo te llamas?,3,La lista del grupo,TRANSFER_AND_RETRIEVAL,"Tarea de transferencia: relacionar nombres, personas y presentaciones.",Identificarse y presentar a otra persona con nombre y tratamiento básico.,perfil; presentación oral; diálogo,TASK_INTERACTION+READ_OR_LISTEN,0,28,15,0,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",43,PASS,YES,16D_FINAL_AUDIT
A1-M01-I03-S1,M01,Contacto y supervivencia comunicativa,A1-M01-I03,3,¿De dónde eres?,1,Ficha de inscripción,CONTEXTUAL_INPUT,"Datos personales básicos: origen, nacionalidad, edad/actividad y números.","Pedir y dar datos personales básicos: procedencia, nacionalidad, actividad y datos simples.",formulario; ficha personal; diálogo,READ+LISTEN,18,0,5,0,0,0,Introduce approximately 55% of the island's new objects inside a meaningful situation.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",23,PASS,NO,16D_LOAD_BALANCING
A1-M01-I03-S2,M01,Contacto y supervivencia comunicativa,A1-M01-I03,3,¿De dónde eres?,2,Conocer a un compañero,VARIATION_AND_LOCAL_RECYCLING,Intercambio oral con preguntas personales sencillas.,"Pedir y dar datos personales básicos: procedencia, nacionalidad, actividad y datos simples.",formulario; ficha personal; diálogo,LISTEN+READ,18,6,5,0,0,0,Introduce the remaining new objects while locally reusing S1 targets and receiving near-transfer targets from the preceding island.,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,"Blueprint defines target scheduling and scenario intent, not final prose. Final story generation must preserve SourceAssertion scope and mode policy.",29,PASS,NO,16D_LOAD_BALANCING
A1-M01-I03-S3,M01,Contacto y supervivencia comunicativa,A1-M01-I03,3,¿De dónde eres?,3,Datos de otra persona,EXTENSION_AND_TRANSFER_PREP,Extensión controlada de datos personales antes de la transferencia final.,"Pedir y dar datos personales básicos: procedencia, nacionalidad, actividad y datos simples.",formulario; ficha personal; diálogo,READ+LISTEN_OR_INTERACTION,18,15,4,0,0,0,CONTROLLED_FINAL_INTRODUCTION_ALLOWED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,Added in 16D because v1.43 new-target load exceeded the internal planning guardrail. This story may introduce final island targets; it is not the final transfer story.,37,PASS,NO,16D_LOAD_BALANCING
A1-M01-I03-S4,M01,Contacto y supervivencia comunicativa,A1-M01-I03,3,¿De dónde eres?,4,Mini entrevista,TRANSFER_AND_RETRIEVAL,Recuperar datos y completar una ficha nueva sin copiar el modelo.,"Pedir y dar datos personales básicos: procedencia, nacionalidad, actividad y datos simples.",formulario; ficha personal; diálogo,TASK_INTERACTION+READ_OR_LISTEN,0,33,22,0,0,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,BLUEPRINT_COMPLETE_16D,v1.43 S3 moved to S4 in 16D so the final story remains transfer-only after load balancing.,55,PASS,YES,16D_LOAD_BALANCING
