allocation_id,target_type,target_id,item,lexeme_id,sense_id,source_record_id,object_class,sense_status,expected_receptive,expected_productive,formulaic_expectation,grammar_pcic_section,grammar_category,grammar_kind,mwu_object_class,mwu_subtype,first_introduction_island,module_id,module_name,island_name,global_island_order,allocation_authority,allocation_basis,allocation_reason,source_assertion_ids,regional_policy,v1_41_planning_budget,v1_42_actual_count_for_target_type,story_blueprint_status,notes,v1_42_first_introduction_island,first_introduction_story,local_reuse_story,near_transfer_story,distant_or_terminal_story,recycle_route_class,v1_43_first_introduction_story,v1_43_local_reuse_story,v1_43_near_transfer_story,v1_43_distant_or_terminal_story,v1_44_sequence_audit_status
SEQ-A1-000001,SENSE,SENSE-A1-000015,adiós,LEX-A1-000015,SENSE-A1-000015,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000232,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000002,SENSE,SENSE-A1-000133,chao,LEX-A1-000131,SENSE-A1-000133,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000378,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000003,SENSE,SENSE-A1-000208,eh,LEX-A1-000204,SENSE-A1-000208,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000465,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000004,SENSE,SENSE-A1-000217,encantado,LEX-A1-000213,SENSE-A1-000217,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000474,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000005,SENSE,SENSE-A1-000275,gracias,LEX-A1-000270,SENSE-A1-000275,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000544,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000006,SENSE,SENSE-A1-000292,hola,LEX-A1-000287,SENSE-A1-000292,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000567,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000007,SENSE,SENSE-A1-000442,perdón,LEX-A1-000434,SENSE-A1-000442,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000743,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000008,SENSE,SENSE-A1-000510,salud,LEX-A1-000501,SENSE-A1-000510,,ATOMIC,A1_CORE_NORMATIVE,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,,,,,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,SOURCE_ASSERTION + SENSE_SCOPE + COMMUNICATIVE_FUNCTION + SEMANTIC_DOMAIN + MODE_POLICY,SEMANTIC_FUNCTIONAL_FIRST_INTRODUCTION,SA-A1-000824,,12,8,COMPLETE_16D_AUDITED,"First introduction only; later occurrences are recycling and do not create a second allocation. 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000009,GRAMMAR_UNIT,GRAM-A1-004,Formas de tratamiento nominales con Sr./Sra. y don/doña,,,,GRAMMAR,A1_CORE_NORMATIVE,REQUIRED,FUNCTION_OR_TASK_BOUND,,1.1.1,Sustantivo,tratamiento,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PCIC_CANONICAL_GRAMMAR + FIRST_FUNCTIONAL_NEED + DEPENDENCY_ORDER,GRAMMAR_FIRST_NEED_CONTEXT,PCIC-02,,5,2,COMPLETE_16D_AUDITED,"variación regional registrada separadamente 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
SEQ-A1-000010,GRAMMAR_UNIT,GRAM-A1-124,Vocativo en posición inicial o final,,,,GRAMMAR,A1_CORE_NORMATIVE,REQUIRED,FUNCTION_OR_TASK_BOUND,,10.5,Sintagma nominal,vocativo,,,A1-M01-I01,M01,Contacto y supervivencia comunicativa,Hola: abrir y cerrar,1,SPANISHSTORIES_EDITORIAL_SEQUENCE_DECISION,PCIC_CANONICAL_GRAMMAR + FIRST_FUNCTIONAL_NEED + DEPENDENCY_ORDER,GRAMMAR_FIRST_NEED_CONTEXT,PCIC-02,,5,2,COMPLETE_16D_AUDITED," 16C assigns an introduction story and explicit recycling route; recycling edges are scheduling requirements, not mastery assertions.",A1-M01-I01,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I02-S3,A1-M02-I01-S4,CORE_OR_STRUCTURAL_ROUTE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I02-S2,A1-M02-I01-S3,PASS
