record_id,object_type,item,surface_form,canonical_anchor_provisional,canonicalization_status,canonicalization_basis,pos_provisional,a1_inclusion_status,source_layer,source_id_primary,phase_origin,regional_status,region_scope,productive_default,cognate_status,english_anchor,orthographic_transparency,phonological_transparency_estimate,semantic_overlap,false_friend_risk,known_multi_assertion_or_sense_split,sense_count_status,curriculum_research_view,product_clearable_view_status,count_surface_form,count_mwu,count_named_entity,count_abbreviation,notes,curriculum_version
7G-ATOM-0001,ATOMIC_SURFACE_FORM,a,a,a,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,PREP,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0002,ATOMIC_SURFACE_FORM,abierto,abierto,abierto,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0003,ATOMIC_SURFACE_FORM,abogado,abogado,abogado,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0004,ATOMIC_SURFACE_FORM,abrir,abrir,abrir,LEMMA_EXPLICIT_VERB,PHASE6_VERB_LEMMA_INVENTORY,VERB,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0005,ATOMIC_SURFACE_FORM,abuelo,abuelo,abuelo,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0006,ATOMIC_SURFACE_FORM,acondicionado,acondicionado,acondicionado,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0007,ATOMIC_SURFACE_FORM,actividad,actividad,actividad,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,TRUE_COGNATE,activity,MEDIUM,LOW_PROVISIONAL,FULL,NONE,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0008,ATOMIC_SURFACE_FORM,actor,actor,actor,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,TRUE_COGNATE,actor,VERY_HIGH,HIGH_PROVISIONAL,FULL,NONE,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0009,ATOMIC_SURFACE_FORM,actriz,actriz,actriz,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,,,,TRUE_COGNATE,actress,LOW,LOW_PROVISIONAL,FULL,NONE,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
7G-ATOM-0010,ATOMIC_SURFACE_FORM,acá,acá,acá,PROVISIONAL_IDENTITY_ANCHOR,NO_SAFE_COLLAPSE_APPLIED_BEFORE_PHASE14,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,PCIC_BASE_A1/7C,PCIC_BASE_A1,A1_REGIONAL_RECEPTIVE,Hispanoamérica,TARGET_PROFILE_ONLY,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NONE_IDENTIFIED,NO,NOT_YET_SENSE_NORMALIZED,INCLUDED,LEGAL_REVIEW_REQUIRED_NOT_CERTIFIED_FOR_REDISTRIBUTION,1,0,0,0,,1.20
