record_id,record_type,workstream_id,current_phase_label,original_plan_phase,curriculum_layer,inventory_or_control,primary_sources,grading_model,coverage_status,primary_count,count_unit,secondary_count,secondary_unit,receptive_productive_state,baseline_effect,cross_layer_dependencies,open_issue,severity,recommended_action,evidence_basis,notes,curriculum_version
AUD13-001,INVENTORY_COVERAGE,WS-CEFR-PREA1,F2A,F2A,CEFR performance,Pre-A1 descriptors,CEFR-01–05,CEFR explicit level,COMPLETE_EXPLICIT_LEVEL,29,descriptors,,,MIXED_BY_DESCRIPTOR,NO_CHANGE,entry profile,,INFO,,Master v1.12 §27.2A,,1.28
AUD13-002,INVENTORY_COVERAGE,WS-CEFR-A1,F2B,F2B,CEFR performance,A1 descriptors,CEFR-01–05,CEFR explicit level,COMPLETE_EXPLICIT_LEVEL,59,descriptors,22,audited scales without A1 descriptor,MIXED_BY_DESCRIPTOR,NO_CHANGE,all PCIC layers; output profile,,INFO,,Master v1.12 §27.2B,,1.28
AUD13-003,INVENTORY_COVERAGE,WS-PCIC-FUNCTIONS,F3+F8,F3,Functions,A1 functions finalized,PCIC-05 + PCIC-06 + PCIC-07,A1 explicit + crossref resolution,COMPLETE_A1,57,source positions,55,normalized unique functions,PRODUCTIVE_FUNCTIONAL_CORE,NO_CHANGE,pragmatics; genres/discourse; grammar; lexicon,,INFO,,Master v1.12 §30 + Phase8 addendum,13 subfunctions after F8 resolution; 0 pending crossrefs.,1.28
AUD13-004,INVENTORY_COVERAGE,WS-PCIC-GRAMMAR,F4,F4,Grammar,A1 grammar units,PCIC-02,A1 explicit,COMPLETE_A1,169,canonical grammar units,27,A2 boundaries,MIXED_BY_UNIT,NO_CHANGE,functions; notions; phonology; orthography,,INFO,,Master v1.12 §34,,1.28
AUD13-005,INVENTORY_COVERAGE,WS-PCIC-GENERAL-NOTIONS,F5,F5,General notions,A1 general notions,PCIC-08,A1 explicit,COMPLETE_A1,53,notional nodes,230,normalized realization assertions,MIXED,NO_CHANGE,lexicon; grammar; functions,,INFO,,Master v1.12 §35,,1.28
AUD13-006,INVENTORY_COVERAGE,WS-PCIC-SPECIFIC-NOTIONS,F6A,F6A,Specific notions,20 thematic domains,PCIC-09,A1 explicit,COMPLETE_A1_DOMAIN_EXTRACTION,20,domains,383,atomic forms in original 6A extraction,MIXED,NO_CHANGE,lexicon; MWU; regional layer,,INFO,,Master v1.12 §§38–39,"Later lexical audits raise current surface baseline to 602; 383 is the original specific-notions extraction, not the final lexicon.",1.28
AUD13-007,INVENTORY_COVERAGE,WS-LEXICON,F6–F7,F6–F7,Lexicon,Atomic A1 surface forms,PCIC-08/09/02/05 + audited support,source-assertion based,COMPLETE_PROVISIONAL_SURFACE_COUNT,602,surface forms,578,provisional canonical atomic anchors,MIXED_RECEPTIVE_PRODUCTIVE_PENDING_NORMALIZATION,NO_CHANGE,MWU; senses; POS; regional; cognates,Final LEXEME_COUNT and SENSE_COUNT unresolved.,HIGH,Resolve in master normalization workstream.,Inherited validated baseline from F7G/current addenda,,1.28
AUD13-008,INVENTORY_COVERAGE,WS-MWU,F6–F7,F6–F7,Formulaic lexicon,A1 MWU/chunks,PCIC-09/08/05,A1 explicit,COMPLETE_PROVISIONAL_MWU_COUNT,214,MWU/chunks,0,overlap among 140+48+26 batches,MIXED,NO_CHANGE,lexicon; functions; pragmatics,Sense/phraseological normalization still pending.,MEDIUM,Normalize MWU identity/sense later.,Master v1.12 §43.9 + F7G inherited,,1.28
AUD13-009,INVENTORY_COVERAGE,WS-PRAGMATICS,F8A,F8,Pragmatics,A1 pragmatic resources,PCIC-06,A1 explicit on A1-A2 page,COMPLETE_A1,39,A1 pragmatic items,6,regional A1 assertions,MIXED_BY_ITEM,NO_CHANGE,functions; discourse; regional variation,,INFO,,Phase8A CSV v1.21,,1.28
AUD13-010,INVENTORY_COVERAGE,WS-GENRES,F8B,F8,Genres,A1 genre profiles,PCIC-07,A1 explicit,COMPLETE_A1,11,genre profiles,13,product subtypes,11 receptive profiles; 4 productive profiles,NO_CHANGE,CEFR reception/production; functions,,INFO,,Phase8B CSV v1.22,,1.28
