record_id,record_type,pcic_section,source_short_label,normalized_family,domain,source_grading,a1_status,a1_evidence_gate,pedagogical_action,language_requirement,assessment_status,platform_hook,cross_phase_link,notes,source_url,curriculum_version
LP-A1-001,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.1,Observación sistemática,SELF_OBSERVATION,METACOGNITIVE_CONTROL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-002,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.1,Análisis,SELF_ANALYSIS,METACOGNITIVE_CONTROL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-003,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.1,Interpretación,CAUSE_INTERPRETATION,METACOGNITIVE_CONTROL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-004,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.1,Valoración,SELF_EVALUATION,METACOGNITIVE_CONTROL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-005,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.1,Registro,LEARNING_RECORD,METACOGNITIVE_CONTROL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-006,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.1,Modificación y ajustes,STRATEGY_ADJUSTMENT,METACOGNITIVE_CONTROL,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-007,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.2,"Necesidades, metas y objetivos",GOAL_FORMULATION,LEARNING_PLANNING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-008,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.2,Regulación del tiempo,TIME_PLANNING,LEARNING_PLANNING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-009,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.2,Control de condiciones,LEARNING_ENVIRONMENT_CONTROL,LEARNING_PLANNING,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
LP-A1-010,PCIC13_PROCEDURE_FAMILY_UNGRADED,1.1.3,Medios tecnológicos y mecánicos,RESOURCE_ORGANIZATION,RESOURCE_MANAGEMENT,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_LEARNING_POOL,AVAILABLE_FOR_TASK_CONDITIONAL_SELECTION,TASK_DEPENDENT; MAY_USE_L1/UI_SUPPORT,DO_NOT_USE_AS_LANGUAGE_LEVEL_PASS_FAIL,LearningStrategy / LearningStrategyEvent,PHASE7_LEXICON; PHASE8_TASKS; PHASE9_FORM; PHASE11_INTERCULTURAL_WHEN_RELEVANT,Normalized procedural family and locator only; consult the source for exact protected formulation/examples.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/13_procedimientos_aprendizaje_inventario.htm,1.27
