intro_story,intro_story_title,module,island,first_intro_count,required_return_count,first_return_story,first_return_relation,second_return_story,second_return_relation,third_return_story,third_return_relation,edge_contribution,audit_status
B32-S01,Primer día en la escuela,M01,B32-I01,33,3,B32-S02,SAME_ISLAND,B32-S03,SAME_ISLAND,B32-S07,CROSS_MODULE,99,PASS
B32-S02,La ficha del grupo,M01,B32-I01,18,3,B32-S03,SAME_ISLAND,B32-S04,SAME_ISLAND,B32-S06,CROSS_MODULE,54,PASS
B32-S03,Conocer a un compañero,M01,B32-I01,54,3,B32-S04,SAME_ISLAND,B32-S05,CROSS_MODULE,B32-S10,CROSS_MODULE,162,PASS
B32-S04,No entiendo,M01,B32-I01,23,3,B32-S05,CROSS_MODULE,B32-S07,CROSS_MODULE,B32-S08,CROSS_MODULE,69,PASS
B32-S05,Una foto de familia,M02,B32-I02,45,3,B32-S06,SAME_ISLAND,B32-S09,SAME_MODULE_CROSS_ISLAND,B32-S11,CROSS_MODULE,135,PASS
B32-S06,Así es Ana,M02,B32-I02,49,3,B32-S07,SAME_ISLAND,B32-S08,SAME_MODULE_CROSS_ISLAND,B32-S12,CROSS_MODULE,147,PASS
B32-S08,Mi apartamento,M02,B32-I03,49,3,B32-S09,SAME_ISLAND,B32-S10,CROSS_MODULE,B32-S13,CROSS_MODULE,147,PASS
B32-S09,"Dos personas, dos actividades",M02,B32-I03,24,3,B32-S10,CROSS_MODULE,B32-S11,CROSS_MODULE,B32-S17,CROSS_MODULE,72,PASS
B32-S10,Una cita a las diez,M03,B32-I04,37,3,B32-S11,SAME_ISLAND,B32-S12,SAME_ISLAND,B32-S15,CROSS_MODULE,111,PASS
B32-S11,Un día normal,M03,B32-I04,18,3,B32-S12,SAME_ISLAND,B32-S13,SAME_MODULE_CROSS_ISLAND,B32-S18,CROSS_MODULE,54,PASS
B32-S12,Hoy cambia el horario,M03,B32-I04,36,3,B32-S13,SAME_MODULE_CROSS_ISLAND,B32-S14,SAME_MODULE_CROSS_ISLAND,B32-S16,CROSS_MODULE,108,PASS
B32-S13,En clase,M03,B32-I05,44,3,B32-S14,SAME_ISLAND,B32-S15,CROSS_MODULE,B32-S20,CROSS_MODULE,132,PASS
B32-S14,¿Sabes hacerlo?,M03,B32-I05,11,3,B32-S15,CROSS_MODULE,B32-S16,CROSS_MODULE,B32-S18,CROSS_MODULE,33,PASS
B32-S15,En el centro,M04,B32-I06,39,3,B32-S16,SAME_ISLAND,B32-S17,SAME_ISLAND,B32-S19,CROSS_MODULE,117,PASS
B32-S16,Cómo llegar,M04,B32-I06,30,3,B32-S17,SAME_ISLAND,B32-S18,SAME_ISLAND,B32-S24,CROSS_MODULE,90,PASS
B32-S17,Necesito información,M04,B32-I06,24,3,B32-S18,SAME_ISLAND,B32-S19,CROSS_MODULE,B32-S21,CROSS_MODULE,72,PASS
B32-S18,Llegar a tiempo,M04,B32-I06,29,3,B32-S19,CROSS_MODULE,B32-S20,CROSS_MODULE,B32-S26,CROSS_MODULE,87,PASS
B32-S19,¿Qué comemos?,M05,B32-I07,38,3,B32-S20,SAME_ISLAND,B32-S21,SAME_ISLAND,B32-S27,CROSS_MODULE,114,PASS
B32-S20,En el restaurante,M05,B32-I07,22,3,B32-S21,SAME_ISLAND,B32-S22,CROSS_MODULE,B32-S24,CROSS_MODULE,66,PASS
B32-S21,La compra con problema,M05,B32-I07,58,3,B32-S22,CROSS_MODULE,B32-S23,CROSS_MODULE,B32-S25,CROSS_MODULE,174,PASS
B32-S22,¿Qué te gusta?,M06,B32-I08,24,3,B32-S23,SAME_ISLAND,B32-S24,SAME_ISLAND,B32-S26,CROSS_MODULE,72,PASS
B32-S23,Después de clase,M06,B32-I08,32,3,B32-S24,SAME_ISLAND,B32-S25,CROSS_MODULE,B32-S27,CROSS_MODULE,96,PASS
B32-S24,El cumpleaños del sábado,M06,B32-I08,36,3,B32-S25,CROSS_MODULE,B32-S26,CROSS_MODULE,B32-S28,CROSS_MODULE,108,PASS
B32-S25,Viaje en tren,M07,B32-I09,27,3,B32-S26,SAME_ISLAND,B32-S27,SAME_ISLAND,B32-S29,CROSS_MODULE,81,PASS
B32-S26,Buscar hotel,M07,B32-I09,23,3,B32-S27,SAME_ISLAND,B32-S28,CROSS_MODULE,B32-S30,CROSS_MODULE,69,PASS
B32-S27,Mañana cambia el plan,M07,B32-I09,43,3,B32-S28,CROSS_MODULE,B32-S29,CROSS_MODULE,B32-S31,CROSS_MODULE,129,PASS
B32-S28,¿Qué opinas?,M08,B32-I10,31,3,B32-S29,SAME_ISLAND,B32-S30,SAME_MODULE_CROSS_ISLAND,B32-S31,SAME_MODULE_CROSS_ISLAND,93,PASS
B32-S29,"Sí, pero...",M08,B32-I10,35,3,B32-S30,SAME_MODULE_CROSS_ISLAND,B32-S31,SAME_MODULE_CROSS_ISLAND,B32-S32,SAME_MODULE_CROSS_ISLAND,105,PASS
B32-S30,Una ficha del mundo hispano,M08,B32-I11,18,2,B32-S31,SAME_ISLAND,B32-S32,SAME_ISLAND,,,36,PASS
B32-S31,"Otra ciudad, otra información",M08,B32-I11,35,1,B32-S32,SAME_ISLAND,,,,,35,PASS
