old_story_id,old_title,action,successor_story,functional_absorption,identity_implication,reason,new_island
A1-M01-I01-S3,Nos vemos mañana,RETIRED,,B32-S01,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I01
A1-M01-I02-S3,La lista del grupo,RETIRED,,B32-S02,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I01
A1-M01-I03-S4,Mini entrevista,RETIRED,,B32-S03,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I01
A1-M01-I04-S3,Resolver el malentendido,RETIRED,,B32-S04,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I01
A1-M02-I01-S4,¿Quién es quién?,RECOMPOSED,B32-S07,,NEW_ID_EXPECTED,El antiguo final-transfer ¿Quién es quién? pasa a ser una Story narrativa real y se amplía con descripción física.,B32-I02
A1-M02-I02-S4,Encontrar a la persona,RETIRED,,B32-S07,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I02
A1-M02-I03-S4,¿Dónde está?,RETIRED,,B32-S08,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I03
A1-M02-I04-S3,Ficha profesional,RETIRED,,B32-S09,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I03
A1-M03-I01-S4,Organizar la semana,RETIRED,,B32-S12,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I04
A1-M03-I02-S3,Ordenar el día,RETIRED,,B32-S12,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I04
A1-M03-I03-S4,Seguir las instrucciones,RETIRED,,B32-S13,OLD_ID_RETIRE — no Story successor,El slot TRANSFER_AND_RETRIEVAL deja de existir como Story independiente. Su patrón de transferencia/retrieval debe sobrevivir dentro de la Story indicada o como actividad/checkpoint; no conserva identidad de StoryBlueprint.,B32-I05
