item,frequency_signal,a1_evidence_source,a1_evidence_value,evidence_gate,a1_core_status,notes
lo,6.041.793,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
te,3.034.375,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
le,1.432.173,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
todo,1.296.897,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
ya,1.115.265,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
algo,1.039.192,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
cuando,931.329,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
nos,866.968,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
nada,863.844,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
tan,573.916,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
mí,515.655,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
uno,393.047,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
otra,368.984,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
mismo,347.834,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
nadie,339.772,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
desde,303.620,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
otro,290.565,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
cada,209.674,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
alguna,198.263,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
demasiado,182.668,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
todavía,166.624,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
aunque,104.655,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
además,75.259,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
decir,492.098,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
vida,453.649,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
alguien,447.141,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
cosa,269.054,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
verdad,589.565,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
parecer,evidencia mediante formas muy frecuentes (`parece`),,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
mundo,298.208,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
mamá,247.700,,,NO_A1_EVIDENCE,NOT_IN_A1_CORE,General-frequency signal only; not an A1 candidate.
